"AssetType";"AssetID";"AssetName";"Ticker";"NetRef1";"NetRef2"
"COM";"Gold";"Gold";"GC=F";"Gold";"XC0009655157"
"CUR";"BTC";"BTC";"BTC-USD";"BTC";"BTC%2FEUR"
"CUR";"GB00BLD4ZM24";"Ethereum ETP";"ETHE";"coinshares-physical-ethereum-eth-gb00bld4zm24";"GB00BLD4ZM24"
"CUR";"USD";"USD";"EUR=X";"USD";"EU0009652759"
"ETF";"LU1737653631";"Amundi GBI";"10AK.F";"LU1737653631";"LU1737653631"
"ETF";"FR0010315770";"Lyxor MSCI World";"WLD.PA";"lyxor_etf_msci_world_-_d-eur";"FR0010315770"
"ETF";"IE00BKM4GZ66";"iShares MSCI EM";"IS3N.F";"ishares_core_msci_emerging_markets_imi_ucits_etf";"IE00BKM4GZ66"
"FND";"DE0008474503";"Dekafonds CF";"0P00000EHB.F";"dekafonds";"DE0008474503"
"STK";"CA0679011084";"Barrick Gold";"GOLD";"barrick_gold";"CA0679011084"
"STK";"US0846707026";"Berkshire Hathaway";"BRK-B";"berkshire_hathaway_b";"US0846707026"
"STK";"US1912161007";"CocaCola";"KO";"Coca-Cola";"US1912161007"
"STK";"US5949181045";"Microsoft";"MSFT";"Microsoft";"US5949181045"
"STK";"CH0038863350";"Nestle";"NESN.SW";"nestle";"CH0038863350"
"STK";"US7427181091";"ProcterGamble";"PG";"Procter_Gamble";"US7427181091"
"STK";"DE0007165607";"Sartorius";"SRT.DE";"sartorius";"DE0007165607"
"STK";"GB00B03MLX29";"Shell";"R6C0.DE";"shell";"GB00B03MLX29"
"STK";"JP3358000002";"Shimano";"SHMDF";"shimano";"JP3358000002"
