"Currency";"CurrencyName";"YF_USD"
"EUR";"Euro";"EUR=X"
"JPY";"Japanese Yen";"JPY=X"
"CNY";"Chinese Yuan";"CNY=X"
"CHF";"Swiss Franc";"CHF=X"
"DKK";"Danish Krone";"DKK=X"
"GBP";"British Pound";"GBP=X"
"HKD";"HongKong Dollar";"HKD=X"
"AUD";"Australia Dollar";"AUD=X"
"BRL";"Brazil Real";"BRL=X"
"CAD";"Canada Dollar";"CAD=X"
"KYD";"Cayman Islands Dollar";"KYD=X"
"CAD";"Canada Dollar";"CAD=X"
"CZK";"Czech Republic Koruna";"CZK=X"
"KRW";"Korea (South) Won";"KRW=X"
"MXN";"Mexico Peso";"MXN=X"
"NOK";"Norway Krone";"NOK=X"
"PLN";"Poland Zloty";"PLN=X"
"SEK";"Sweden Krona";"SEK=X"
"HUF";"Hungary Forint";"HUF=X"
"ISK";"Iceland Krona";"ISK=X"
"INR";"India Rupee";"INR=X"
"ILS";"Israel Shekel";"ILS=X"
"SGD";"Singapore Dollar";"SGD=X"
"HRK";"Croatia Kuna";"HRK=X"
"TWD";"Taiwan New Dollar";"TWD=X"
